batter,innings,total_runs,total_balls,avg_runs,fours,sixes,fifties,hundreds,strike_rate,runs_Death,runs_Middle,runs_Powerplay,strike_rate_Death,strike_rate_Middle,strike_rate_Powerplay,form_avg_last10,best_venue,best_venue_runs,best_venue_sr,pvs_batting,cluster,archetype
V Sehwag,104,2728,1740,26.23,334,106,18,2,156.78,73.0,1062.0,1593.0,221.21,173.81,145.35,22.8,"Sardar Patel Stadium, Motera",76.0,200.0,55.69,1.0,Finisher / Death Specialist
V Shankar,58,1115,857,19.22,80,45,6,0,130.11,490.0,521.0,104.0,168.38,114.51,93.69,17.9,Maharashtra Cricket Association Stadium,54.0,174.19,38.02,4.0,Utility Batter
VR Iyer,49,1326,966,27.06,121,61,12,1,137.27,91.0,643.0,592.0,131.88,142.57,132.74,30.8,"Narendra Modi Stadium, Ahmedabad",134.0,197.06,50.45,2.0,Anchor / Run Machine
VVS Laxman,20,282,266,14.1,33,5,1,0,106.02,3.0,92.0,187.0,50.0,126.03,100.0,10.8,Dr DY Patil Sports Academy,59.0,137.21,24.5,0.0,Powerplay Dominator
WP Saha,143,2934,2296,20.52,296,87,14,1,127.79,557.0,988.0,1389.0,157.79,110.02,132.92,19.0,"Arun Jaitley Stadium, Delhi",53.0,165.62,44.66,1.0,Finisher / Death Specialist
Washington Sundar,38,378,324,9.95,32,9,0,0,116.67,253.0,108.0,17.0,143.75,87.1,70.83,10.0,M.Chinnaswamy Stadium,58.0,187.1,23.4,0.0,Powerplay Dominator
Y Nagar,20,285,259,14.25,20,9,0,0,110.04,179.0,104.0,2.0,140.94,80.62,66.67,16.4,Feroz Shah Kotla,155.0,130.25,27.1,0.0,Powerplay Dominator
Y Venugopal Rao,52,985,832,18.94,77,37,3,0,118.39,387.0,522.0,76.0,155.42,107.19,79.17,15.8,Sawai Mansingh Stadium,83.0,162.75,34.33,4.0,Utility Batter
YBK Jaiswal,52,1607,1062,30.9,199,64,11,2,151.32,64.0,534.0,1009.0,213.33,142.02,153.81,37.2,"Eden Gardens, Kolkata",120.0,187.5,58.75,2.0,Anchor / Run Machine
YK Pathan,153,3222,2233,21.06,263,161,15,1,144.29,1126.0,1735.0,361.0,161.78,134.08,148.56,11.2,Brabourne Stadium,144.0,202.82,47.59,1.0,Finisher / Death Specialist
Yuvraj Singh,126,2754,2115,21.86,218,149,13,0,130.21,906.0,1655.0,193.0,183.4,115.33,103.76,16.3,Eden Gardens,127.0,164.94,45.51,1.0,Finisher / Death Specialist
Z Khan,27,117,140,4.33,11,2,0,0,83.57,108.0,9.0,0.0,100.0,31.03,0.0,1.9,M Chinnaswamy Stadium,44.0,95.65,9.71,0.0,Powerplay Dominator
