batter,innings,total_runs,total_balls,avg_runs,fours,sixes,fifties,hundreds,strike_rate
S Badrinath,65,1441,1208,22.17,154,28,11,0,119.29
S Dhawan,221,6769,5304,30.63,768,153,53,2,127.62
S Dube,61,1502,1022,24.62,86,101,9,0,146.97
S Gopal,22,180,169,8.18,19,2,0,0,106.51
S Nadeem,20,39,87,1.95,2,0,0,0,44.83
S Sohal,20,368,289,18.4,34,18,2,0,127.34
SA Yadav,135,3594,2462,26.62,385,130,26,2,145.98
SC Ganguly,56,1349,1257,24.09,137,42,7,0,107.32
SE Marsh,69,2489,1866,36.07,269,78,21,1,133.39
SK Raina,200,5536,4025,27.68,506,204,40,1,137.54
SK Warne,27,198,213,7.33,14,6,0,0,92.96
SL Malinga,20,88,99,4.4,6,5,0,0,88.89
SM Curran,48,883,643,18.4,74,37,5,0,137.33
SN Khan,36,585,444,16.25,63,14,1,0,131.76
SN Thakur,35,307,220,8.77,27,13,1,0,139.55
SO Hetmyer,65,1243,807,19.12,76,82,4,0,154.03
SP Goswami,21,293,293,13.95,32,3,1,0,100.0
SP Narine,106,1534,924,14.47,164,97,8,1,166.02
SPD Smith,93,2495,1931,26.83,226,60,12,1,129.21
SR Tendulkar,78,2334,1941,29.92,296,29,14,1,120.25
SR Watson,141,3880,2801,27.52,377,190,25,4,138.52
SS Iyer,114,3131,2449,27.46,272,113,21,0,127.85
SS Tiwary,73,1494,1235,20.47,111,50,8,0,120.97
ST Jayasuriya,30,768,529,25.6,84,39,5,1,145.18
STR Binny,66,880,682,13.33,66,35,0,0,129.03
SV Samson,162,4419,3167,27.28,352,206,28,3,139.53
SW Billings,27,503,385,18.63,40,20,3,0,130.65
Sandeep Sharma,25,54,69,2.16,4,0,0,0,78.26
Shahbaz Ahmed,37,536,438,14.49,28,25,1,0,122.37
Shakib Al Hasan,52,795,635,15.29,73,21,2,0,125.2
Shubman Gill,99,3216,2360,32.48,310,95,24,4,136.27
TA Boult,22,83,78,3.77,5,3,0,0,106.41
TH David,35,659,385,18.83,38,46,0,0,171.17
TL Suman,39,676,573,17.33,55,26,2,0,117.98
TM Dilshan,50,1153,1001,23.06,140,24,9,0,115.18
TM Head,25,772,441,30.88,76,40,6,1,175.06
Tilak Varma,38,1156,787,30.42,90,58,6,0,146.89
UBT Chand,20,300,299,15.0,32,9,1,0,100.33
UT Yadav,48,208,201,4.33,16,9,0,0,103.48
V Kohli,244,8014,6051,32.84,708,273,64,8,132.44
V Sehwag,104,2728,1740,26.23,334,106,18,2,156.78
V Shankar,58,1115,857,19.22,80,45,6,0,130.11
VR Iyer,49,1326,966,27.06,121,61,12,1,137.27
VVS Laxman,20,282,266,14.1,33,5,1,0,106.02
WP Saha,143,2934,2296,20.52,296,87,14,1,127.79
Washington Sundar,38,378,324,9.95,32,9,0,0,116.67
Y Nagar,20,285,259,14.25,20,9,0,0,110.04
Y Venugopal Rao,52,985,832,18.94,77,37,3,0,118.39
YBK Jaiswal,52,1607,1062,30.9,199,64,11,2,151.32
YK Pathan,153,3222,2233,21.06,263,161,15,1,144.29
Yuvraj Singh,126,2754,2115,21.86,218,149,13,0,130.21
Z Khan,27,117,140,4.33,11,2,0,0,83.57
